Event Interest ID,ResponseID,EventName,InterestRating
EvInID_1,ReID_1,Interest_Ev_1,1
EvInID_2,ReID_1,Interest_Ev_2,3
EvInID_3,ReID_1,Interest_Ev_3,1
EvInID_4,ReID_10,Interest_Ev_1,3
EvInID_5,ReID_10,Interest_Ev_2,3
EvInID_6,ReID_10,Interest_Ev_3,3
EvInID_7,ReID_11,Interest_Ev_1,
EvInID_8,ReID_11,Interest_Ev_2,
EvInID_9,ReID_11,Interest_Ev_3,
EvInID_10,ReID_12,Interest_Ev_1,3
EvInID_11,ReID_12,Interest_Ev_2,3
EvInID_12,ReID_12,Interest_Ev_3,3
EvInID_13,ReID_13,Interest_Ev_1,3
EvInID_14,ReID_13,Interest_Ev_2,3
EvInID_15,ReID_13,Interest_Ev_3,3
EvInID_16,ReID_14,Interest_Ev_1,1
EvInID_17,ReID_14,Interest_Ev_2,2
EvInID_18,ReID_14,Interest_Ev_3,2
EvInID_19,ReID_15,Interest_Ev_1,2
EvInID_20,ReID_15,Interest_Ev_2,2
EvInID_21,ReID_15,Interest_Ev_3,3
EvInID_22,ReID_16,Interest_Ev_1,3
EvInID_23,ReID_16,Interest_Ev_2,3
EvInID_24,ReID_16,Interest_Ev_3,3
EvInID_25,ReID_17,Interest_Ev_1,3
EvInID_26,ReID_17,Interest_Ev_2,3
EvInID_27,ReID_17,Interest_Ev_3,3
EvInID_28,ReID_18,Interest_Ev_1,3
EvInID_29,ReID_18,Interest_Ev_2,3
EvInID_30,ReID_18,Interest_Ev_3,3
EvInID_31,ReID_19,Interest_Ev_1,3
EvInID_32,ReID_19,Interest_Ev_2,3
EvInID_33,ReID_19,Interest_Ev_3,1
EvInID_34,ReID_2,Interest_Ev_1,1
EvInID_35,ReID_2,Interest_Ev_2,
EvInID_36,ReID_2,Interest_Ev_3,1
EvInID_37,ReID_20,Interest_Ev_1,2
EvInID_38,ReID_20,Interest_Ev_2,
EvInID_39,ReID_20,Interest_Ev_3,2
EvInID_40,ReID_21,Interest_Ev_1,1
EvInID_41,ReID_21,Interest_Ev_2,2
EvInID_42,ReID_21,Interest_Ev_3,1
EvInID_43,ReID_22,Interest_Ev_1,1
EvInID_44,ReID_22,Interest_Ev_2,2
EvInID_45,ReID_22,Interest_Ev_3,1
EvInID_46,ReID_23,Interest_Ev_1,2
EvInID_47,ReID_23,Interest_Ev_2,3
EvInID_48,ReID_23,Interest_Ev_3,3
EvInID_49,ReID_24,Interest_Ev_1,3
EvInID_50,ReID_24,Interest_Ev_2,3
EvInID_51,ReID_24,Interest_Ev_3,3
EvInID_52,ReID_25,Interest_Ev_1,3
EvInID_53,ReID_25,Interest_Ev_2,3
EvInID_54,ReID_25,Interest_Ev_3,3
EvInID_55,ReID_26,Interest_Ev_1,4
EvInID_56,ReID_26,Interest_Ev_2,4
EvInID_57,ReID_26,Interest_Ev_3,4
EvInID_58,ReID_27,Interest_Ev_1,1
EvInID_59,ReID_27,Interest_Ev_2,3
EvInID_60,ReID_27,Interest_Ev_3,3
EvInID_61,ReID_28,Interest_Ev_1,2
EvInID_62,ReID_28,Interest_Ev_2,3
EvInID_63,ReID_28,Interest_Ev_3,3
EvInID_64,ReID_29,Interest_Ev_1,1
EvInID_65,ReID_29,Interest_Ev_2,3
EvInID_66,ReID_29,Interest_Ev_3,3
EvInID_67,ReID_3,Interest_Ev_1,1
EvInID_68,ReID_3,Interest_Ev_2,3
EvInID_69,ReID_3,Interest_Ev_3,3
EvInID_70,ReID_30,Interest_Ev_1,3
EvInID_71,ReID_30,Interest_Ev_2,3
EvInID_72,ReID_30,Interest_Ev_3,2
